Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Score,Result
6.38,70.68,79.27,5,4.91,71.21,Pass
7.61,56.09,85.05,8,8.79,86.86,Pass
6.95,59.06,79.43,8,8.45,82.05,Pass
2.73,84.06,43.57,9,7.26,67.16,Pass
4.15,59.07,80.21,6,6.3,71.73,Pass
1.9,76.26,81.14,8,7.38,76.12,Pass
7.68,85.45,74.51,9,7.09,100.0,Pass
5.24,55.34,80.97,10,6.84,78.69,Pass
2.6,78.37,85.76,4,4.3,63.59,Pass
5.7,62.83,71.82,4,7.16,59.6,Pass
5.33,98.15,40.32,5,7.84,62.9,Pass
3.51,74.18,64.26,6,8.97,75.74,Pass
1.79,90.3,39.66,2,4.06,52.41,Pass
5.7,77.51,59.45,8,7.65,68.87,Pass
4.64,52.17,59.43,10,6.86,81.0,Pass
6.41,81.66,38.96,9,6.17,72.6,Pass
4.64,97.57,55.93,6,4.64,72.44,Pass
6.97,80.08,41.66,5,6.05,77.99,Pass
4.86,90.96,83.49,8,5.77,91.74,Pass
4.93,94.21,91.86,6,5.51,87.54,Pass
7.14,61.4,39.34,8,7.65,72.29,Pass
3.82,60.6,92.31,2,7.5,73.64,Pass
1.94,80.55,66.35,2,6.95,58.34,Pass
1.2,70.55,52.97,4,8.69,57.05,Pass
6.29,91.99,39.61,3,5.75,66.85,Pass
5.34,95.0,65.04,3,5.22,70.0,Pass
5.93,67.67,82.67,8,7.28,76.58,Pass
2.49,61.84,77.43,3,4.99,57.95,Pass
1.95,89.03,38.01,5,5.58,49.7,Pass
1.1,63.74,39.37,3,5.12,43.44,Pass
3.45,91.13,59.17,7,4.35,58.94,Pass
5.13,71.19,52.72,9,8.14,74.04,Pass
3.75,83.38,48.94,5,5.27,53.01,Pass
4.06,54.78,51.86,6,6.37,56.62,Pass
7.33,81.19,83.21,5,4.22,82.82,Pass
3.44,72.59,90.75,4,7.5,77.46,Pass
4.6,79.33,59.31,6,5.65,71.23,Pass
6.49,58.4,89.37,10,7.72,87.96,Pass
3.78,86.84,54.29,9,6.06,65.33,Pass
5.35,93.14,63.59,9,4.98,83.3,Pass
7.04,60.84,48.56,9,6.57,65.69,Pass
7.65,54.79,73.43,9,4.65,83.07,Pass
2.03,51.18,93.74,8,6.2,73.26,Pass
7.49,82.1,71.21,9,5.59,91.16,Pass
4.44,80.35,56.47,9,8.56,74.86,Pass
2.81,77.33,73.87,9,4.3,66.78,Pass
4.21,61.6,42.38,8,7.47,55.27,Pass
7.86,69.55,88.32,2,4.91,70.94,Pass
4.45,79.72,65.19,5,5.6,59.9,Pass
3.3,74.84,61.96,5,6.08,68.15,Pass
5.43,99.39,70.15,6,8.54,87.57,Pass
2.68,56.82,72.49,7,5.21,65.8,Pass
1.53,84.76,39.31,5,4.46,51.46,Pass
1.9,70.22,75.96,3,5.59,70.41,Pass
1.9,71.41,49.52,7,4.52,55.36,Pass
2.06,85.88,77.84,9,4.64,74.05,Pass
1.97,84.62,84.35,9,6.87,77.11,Pass
5.49,99.56,83.24,8,4.3,83.21,Pass
2.27,56.42,68.15,7,4.15,62.28,Pass
3.42,55.21,66.21,3,7.57,55.94,Pass
7.28,86.22,43.57,8,5.81,70.47,Pass
4.32,78.92,81.52,6,4.63,77.02,Pass
5.67,63.71,51.28,7,5.27,62.39,Pass
2.21,53.97,64.8,9,7.21,64.51,Pass
2.35,54.28,52.06,9,5.38,55.9,Pass
1.29,94.71,43.03,4,6.47,55.66,Pass
2.18,59.59,72.77,8,4.61,59.99,Pass
2.95,66.17,38.26,2,6.94,45.43,Pass
2.24,61.33,79.92,2,5.58,54.5,Pass
1.62,67.75,54.06,8,7.13,64.69,Pass
1.84,53.47,35.01,10,8.04,55.74,Pass
4.23,75.95,65.67,8,7.06,77.6,Pass
2.44,53.38,37.81,6,5.48,53.39,Pass
3.55,90.02,51.57,9,5.28,66.96,Pass
4.52,61.69,77.42,3,5.64,69.5,Pass
5.83,77.0,38.76,10,4.82,68.12,Pass
1.28,94.0,85.36,7,4.91,72.16,Pass
6.6,82.54,35.23,10,7.95,80.26,Pass
5.4,76.65,49.81,3,5.92,64.46,Pass
1.57,66.22,79.45,4,6.18,59.95,Pass
7.12,66.65,53.98,9,6.97,77.65,Pass
7.45,83.47,41.11,2,6.95,58.88,Pass
1.43,99.71,56.61,8,4.34,66.75,Pass
2.94,83.09,51.22,8,8.16,60.34,Pass
6.64,77.89,85.56,2,4.89,69.97,Pass
6.24,86.53,53.8,10,7.62,83.12,Pass
2.29,73.26,82.34,9,7.86,62.45,Pass
2.47,53.01,88.51,5,7.57,76.0,Pass
3.59,78.11,61.03,6,6.89,71.32,Pass
4.39,97.88,89.6,3,4.07,67.0,Pass
5.33,58.77,57.64,10,5.8,82.14,Pass
3.58,84.5,92.84,7,7.02,94.88,Pass
4.24,60.05,40.36,4,5.94,51.95,Pass
6.23,76.79,76.22,8,8.32,78.8,Pass
1.26,54.83,64.63,10,5.54,69.55,Pass
2.77,72.52,58.26,4,5.47,56.28,Pass
5.99,87.81,72.96,3,5.33,74.17,Pass
7.27,67.38,77.23,8,5.66,86.92,Pass
4.58,83.25,35.26,8,6.79,63.98,Pass
4.72,89.77,45.02,5,7.54,65.35,Pass
1.75,96.36,77.78,10,7.31,73.1,Pass
4.13,61.73,74.98,9,8.04,72.0,Pass
4.73,69.97,92.96,2,8.43,73.66,Pass
2.7,57.62,80.66,2,8.08,55.88,Pass
2.88,99.62,92.05,6,4.09,72.51,Pass
3.64,96.35,77.15,7,7.68,80.08,Pass
1.14,77.0,52.88,4,5.04,43.41,Pass
3.25,92.1,41.32,10,4.66,61.83,Pass
2.48,76.05,81.91,7,7.19,82.73,Pass
3.29,81.18,73.65,5,5.6,66.79,Pass
1.84,54.46,37.89,8,4.29,46.26,Pass
7.23,87.76,56.6,9,4.69,77.21,Pass
5.16,56.39,92.41,10,4.0,77.46,Pass
5.75,91.3,65.02,7,8.52,83.56,Pass
6.52,89.1,60.96,7,4.12,77.9,Pass
4.49,85.44,62.46,9,5.05,72.05,Pass
1.61,51.81,47.53,6,6.08,48.84,Pass
4.76,65.16,57.12,4,5.78,67.68,Pass
5.11,63.16,57.19,4,8.56,57.29,Pass
6.22,68.01,38.14,7,4.2,61.15,Pass
4.02,54.38,81.05,3,6.56,65.07,Pass
1.89,96.85,59.99,7,7.4,65.44,Pass
2.99,77.69,84.33,7,8.66,76.72,Pass
3.54,65.28,86.02,9,7.1,72.74,Pass
5.52,69.85,47.72,8,8.02,72.78,Pass
5.0,72.36,74.44,9,4.42,68.74,Pass
3.49,80.03,63.34,10,5.93,78.33,Pass
7.91,75.78,87.81,7,5.87,86.62,Pass
5.24,95.97,47.94,4,8.43,67.75,Pass
2.66,74.85,75.67,4,4.76,58.53,Pass
1.71,99.61,71.47,2,4.76,68.06,Pass
2.07,92.57,52.72,6,5.64,59.28,Pass
2.72,60.43,43.2,5,4.27,43.82,Pass
2.12,96.53,74.1,10,4.91,81.53,Pass
2.31,55.82,79.32,10,8.83,68.55,Pass
3.0,90.87,53.94,6,6.14,64.98,Pass
2.21,69.03,73.69,5,7.16,68.77,Pass
7.28,93.9,58.71,8,7.63,84.16,Pass
1.56,93.4,77.79,7,5.83,80.64,Pass
4.67,90.3,46.95,5,4.74,59.7,Pass
3.87,89.5,88.41,3,5.03,72.49,Pass
7.88,65.23,52.24,2,5.57,63.3,Pass
1.78,54.05,57.07,5,7.18,57.17,Pass
3.78,70.15,38.49,5,5.99,61.6,Pass
7.79,58.68,41.69,2,4.03,56.94,Pass
7.06,84.75,65.95,7,6.62,79.67,Pass
6.72,67.3,51.06,5,8.61,61.91,Pass
2.81,98.78,85.13,2,8.06,74.74,Pass
2.2,82.05,35.88,2,8.13,48.06,Pass
5.68,91.12,57.75,2,7.98,72.86,Pass
7.51,56.63,55.24,9,5.62,70.45,Pass
4.9,93.1,36.16,9,7.83,69.86,Pass
5.0,96.14,42.46,3,4.72,54.26,Pass
2.96,74.35,59.82,8,7.29,58.61,Pass
6.39,80.31,64.57,9,7.21,90.1,Pass
2.31,88.24,59.26,9,4.13,67.68,Pass
3.27,58.74,66.86,8,7.94,69.8,Pass
3.98,75.13,70.71,6,8.52,68.13,Pass
4.55,69.93,35.6,2,5.34,55.11,Pass
2.7,57.32,62.85,10,8.06,71.22,Pass
1.8,68.38,92.81,8,4.41,67.37,Pass
5.27,53.41,66.14,3,7.0,57.29,Pass
3.02,51.29,75.65,7,6.43,61.4,Pass
5.07,56.76,53.71,3,6.73,58.09,Pass
2.08,98.16,81.44,2,8.63,72.44,Pass
4.37,77.48,81.38,8,8.36,80.99,Pass
4.73,98.29,66.28,3,7.93,80.09,Pass
1.36,71.62,93.56,3,5.37,61.43,Pass
3.36,65.59,42.53,6,8.56,53.51,Pass
1.94,75.31,36.02,6,4.49,50.67,Pass
1.44,71.98,81.21,8,8.27,63.48,Pass
7.93,55.28,83.43,2,5.64,76.09,Pass
3.26,82.04,42.21,9,4.27,62.54,Pass
6.67,60.8,50.93,4,7.35,62.83,Pass
2.78,80.98,36.05,5,5.16,51.54,Pass
5.77,82.51,52.6,10,5.22,79.27,Pass
6.32,57.6,81.39,5,5.53,77.22,Pass
5.17,53.07,66.08,6,4.32,62.27,Pass
4.3,89.04,55.89,8,4.89,73.39,Pass
3.88,72.99,57.3,5,4.03,64.66,Pass
3.44,52.91,35.08,2,6.23,46.26,Pass
7.51,99.74,52.99,10,4.42,81.53,Pass
6.81,52.89,73.79,5,7.41,74.39,Pass
7.76,84.75,93.45,10,5.18,89.3,Pass
1.87,99.18,85.82,7,8.72,80.83,Pass
6.12,61.96,36.42,2,8.36,55.39,Pass
7.57,57.11,88.91,4,5.45,74.91,Pass
2.27,56.07,81.99,3,7.92,53.75,Pass
1.47,65.16,81.82,10,8.02,68.07,Pass
6.19,55.05,62.48,2,8.93,62.39,Pass
5.02,84.61,58.88,10,6.99,82.18,Pass
6.89,53.11,53.17,10,4.41,70.84,Pass
1.98,75.47,38.94,9,7.23,64.32,Pass
6.57,99.83,48.69,9,7.12,86.68,Pass
2.41,90.7,49.8,2,7.19,59.41,Pass
2.15,80.76,64.04,9,5.54,68.81,Pass
2.15,65.31,79.85,4,8.3,60.74,Pass
6.7,81.19,63.43,8,8.8,91.74,Pass
5.66,76.35,38.47,2,5.09,48.71,Pass
4.66,71.3,92.47,2,4.44,70.77,Pass
3.51,56.54,91.56,6,4.97,74.09,Pass
7.14,94.33,82.11,6,8.1,93.13,Pass
3.75,72.49,94.48,9,7.38,77.14,Pass
6.72,59.73,67.67,8,7.18,73.92,Pass
4.07,68.39,92.77,9,6.01,76.47,Pass
3.64,70.71,39.54,7,6.89,49.48,Pass
4.24,91.38,56.94,7,5.54,71.17,Pass
3.11,86.68,48.52,3,6.39,55.0,Pass
6.23,88.47,46.75,7,7.97,81.65,Pass
4.52,50.55,43.45,6,8.91,61.91,Pass
2.63,70.81,72.34,4,8.66,66.19,Pass
7.3,74.07,81.88,7,8.67,83.96,Pass
3.69,50.96,69.7,9,6.01,67.64,Pass
4.8,62.99,43.82,10,6.34,64.43,Pass
7.35,88.01,83.67,2,7.53,82.03,Pass
5.37,56.86,73.16,4,8.61,79.08,Pass
1.82,76.77,58.29,4,4.71,50.47,Pass
7.58,60.76,75.45,9,5.52,79.83,Pass
5.39,50.61,50.59,2,4.7,56.01,Pass
3.34,62.06,55.71,6,7.06,58.85,Pass
1.97,98.79,90.05,4,5.53,81.69,Pass
6.56,90.08,52.43,3,5.63,71.91,Pass
5.34,97.98,63.2,9,4.35,75.1,Pass
4.73,74.39,88.41,4,5.75,75.3,Pass
7.26,55.49,77.46,8,8.31,77.58,Pass
6.52,77.4,38.73,2,5.17,54.42,Pass
2.06,72.72,43.84,7,7.48,57.45,Pass
3.18,92.22,35.47,4,7.15,64.32,Pass
2.74,54.9,72.86,9,8.32,73.28,Pass
6.21,74.41,61.86,7,4.66,71.75,Pass
1.23,57.5,43.06,3,8.89,51.6,Pass
4.99,66.23,92.48,7,6.91,81.54,Pass
6.34,86.87,66.78,8,8.98,77.86,Pass
7.14,73.8,49.51,6,8.56,72.17,Pass
3.39,68.79,65.04,4,5.11,60.21,Pass
6.75,69.72,75.78,5,4.28,77.27,Pass
1.77,72.97,39.57,5,5.28,47.53,Pass
6.93,89.25,51.48,7,6.64,71.55,Pass
1.89,94.6,83.42,2,4.86,66.18,Pass
3.78,97.77,62.58,5,4.84,65.87,Pass
6.58,89.35,67.79,5,6.31,75.98,Pass
2.05,65.77,60.97,2,4.17,50.5,Pass
2.6,84.41,37.63,10,4.61,59.4,Pass
6.06,71.88,44.94,5,6.08,68.45,Pass
6.04,62.73,61.73,8,4.32,76.64,Pass
5.49,92.04,47.55,4,5.98,70.87,Pass
5.86,51.92,38.0,4,6.37,45.71,Pass
4.8,95.09,85.62,9,6.26,83.53,Pass
2.76,73.07,93.87,9,8.35,80.65,Pass
3.42,81.86,82.59,2,6.65,59.67,Pass
2.27,82.97,86.23,3,6.34,64.33,Pass
7.36,94.76,49.52,9,6.05,79.23,Pass
5.08,81.83,92.64,2,8.09,76.05,Pass
3.81,80.7,46.82,9,8.48,69.79,Pass
4.23,53.33,92.09,9,8.27,72.66,Pass
7.63,75.92,94.69,3,7.37,82.24,Pass
2.07,57.51,77.7,5,4.69,60.64,Pass
5.1,86.87,93.87,7,5.38,84.34,Pass
4.54,75.61,69.17,10,4.23,76.78,Pass
5.28,84.01,50.57,9,8.65,77.73,Pass
1.13,52.08,61.22,9,7.3,57.49,Pass
7.1,54.24,70.61,8,7.73,77.92,Pass
7.52,85.82,39.38,10,5.56,71.72,Pass
4.96,53.6,72.34,3,8.23,64.13,Pass
5.88,53.56,93.87,4,5.3,68.02,Pass
7.46,50.61,46.41,9,4.01,71.17,Pass
5.95,97.83,82.56,7,5.88,84.42,Pass
2.07,86.88,89.47,10,6.85,86.75,Pass
5.03,67.66,91.62,5,6.39,78.3,Pass
5.25,64.83,92.61,9,8.31,80.78,Pass
3.97,67.49,66.29,4,4.53,62.68,Pass
6.16,88.73,93.64,4,6.77,88.52,Pass
7.54,83.07,80.44,9,6.56,88.76,Pass
7.48,59.26,44.7,6,5.41,65.02,Pass
4.16,58.71,63.61,4,8.11,60.31,Pass
1.79,54.92,78.1,2,7.76,57.98,Pass
7.89,83.02,49.84,4,7.66,74.32,Pass
6.87,88.22,73.44,10,8.38,87.1,Pass
1.87,63.25,75.0,6,7.61,59.48,Pass
7.45,51.05,44.76,3,5.16,64.17,Pass
7.09,54.11,68.91,8,7.53,79.42,Pass
4.63,98.39,81.3,3,5.54,73.04,Pass
5.14,64.77,64.93,5,5.21,66.62,Pass
3.79,88.46,35.73,8,4.37,53.95,Pass
1.38,81.23,35.54,5,7.72,43.09,Pass
3.35,69.1,56.42,8,7.56,71.87,Pass
6.62,60.28,90.57,8,5.17,82.68,Pass
1.03,56.07,48.72,2,7.75,45.71,Pass
3.33,80.75,73.06,7,8.59,76.07,Pass
3.79,88.73,48.32,10,4.54,85.14,Pass
4.76,82.2,54.3,3,5.16,66.5,Pass
7.44,76.52,85.88,4,7.75,77.86,Pass
3.42,52.1,78.73,6,5.37,56.19,Pass
3.43,98.42,40.72,10,7.12,76.25,Pass
6.16,89.94,60.72,5,4.41,76.21,Pass
4.17,64.64,36.75,2,6.26,52.83,Pass
2.57,99.0,63.85,5,7.7,66.2,Pass
4.17,80.09,74.75,7,7.43,77.84,Pass
1.99,79.12,42.11,6,8.08,54.56,Pass
2.23,87.4,52.33,2,8.39,62.13,Pass
4.49,90.59,58.87,5,7.87,76.33,Pass
3.93,82.82,90.17,7,7.36,78.71,Pass
7.4,56.4,94.6,5,4.16,83.87,Pass
3.54,66.91,37.69,10,6.67,62.35,Pass
5.06,96.4,80.66,6,4.19,81.48,Pass
5.43,61.23,57.3,9,8.04,65.53,Pass
1.09,68.61,58.55,10,5.6,63.26,Pass
5.64,71.6,80.26,6,6.81,73.9,Pass
2.25,71.97,90.11,7,5.4,74.49,Pass
7.73,80.65,92.06,2,7.91,91.53,Pass
2.04,97.15,69.63,8,8.43,77.33,Pass
3.9,62.03,56.43,5,5.99,55.2,Pass
1.6,56.08,82.25,3,8.31,64.41,Pass
7.98,59.87,50.06,6,5.34,69.85,Pass
4.52,94.35,68.84,4,6.67,83.27,Pass
5.17,82.29,56.51,7,8.29,74.99,Pass
1.47,64.3,74.4,9,5.63,63.11,Pass
6.25,90.8,49.42,8,8.77,82.0,Pass
2.47,93.07,46.5,4,4.61,56.61,Pass
7.29,92.33,90.09,9,4.09,91.64,Pass
2.44,95.95,41.11,3,8.52,54.55,Pass
2.33,62.61,65.36,10,4.34,63.96,Pass
1.26,87.75,48.25,5,8.96,60.37,Pass
4.3,73.03,37.34,2,8.76,54.95,Pass
4.95,92.1,37.16,9,4.69,64.58,Pass
1.46,86.42,45.51,8,6.69,62.65,Pass
6.43,88.82,87.01,6,4.92,79.02,Pass
4.17,82.81,51.95,6,6.14,59.89,Pass
4.67,58.87,92.03,8,4.31,79.32,Pass
4.09,77.25,69.9,6,5.12,72.22,Pass
3.81,99.23,61.2,9,5.82,69.68,Pass
4.92,96.87,69.81,7,6.19,69.73,Pass
2.09,52.16,66.0,6,8.89,55.98,Pass
2.27,58.24,80.53,10,8.04,72.43,Pass
7.03,56.59,51.95,3,7.69,69.41,Pass
7.62,86.3,56.18,2,6.69,70.55,Pass
3.61,90.89,88.65,9,8.2,82.27,Pass
2.9,60.68,91.79,4,5.7,68.11,Pass
5.51,75.29,88.55,8,7.54,84.07,Pass
3.86,92.04,60.17,9,8.97,71.08,Pass
1.18,86.64,81.82,7,5.57,63.55,Pass
2.09,77.11,63.58,10,7.37,63.87,Pass
6.01,79.52,64.85,8,8.22,91.87,Pass
5.61,75.42,47.28,6,8.58,73.03,Pass
1.19,64.88,70.47,9,7.59,63.5,Pass
2.55,78.25,46.17,3,5.42,58.65,Pass
2.62,84.44,54.89,8,5.63,62.79,Pass
5.7,93.67,86.3,5,4.1,85.68,Pass
1.14,81.81,47.42,10,7.8,64.66,Pass
1.73,88.06,39.27,2,4.21,44.84,Pass
6.6,58.0,39.14,8,8.32,70.09,Pass
2.25,73.08,91.45,7,4.59,72.6,Pass
5.57,50.47,65.42,9,4.86,70.76,Pass
2.67,62.33,59.56,6,6.38,60.84,Pass
1.7,86.32,83.65,2,7.69,68.35,Pass
2.7,99.59,85.15,2,4.7,74.09,Pass
6.06,54.96,54.93,10,6.2,83.46,Pass
6.99,70.07,76.62,7,6.41,86.25,Pass
6.81,90.0,81.27,6,5.06,84.15,Pass
3.78,60.2,74.28,2,4.58,57.44,Pass
5.68,77.75,44.1,7,8.18,68.38,Pass
2.43,86.65,87.55,7,6.51,70.43,Pass
3.05,80.8,67.35,4,4.07,65.61,Pass
7.27,59.4,51.95,9,8.01,69.26,Pass
1.09,67.77,60.51,2,8.9,52.67,Pass
1.6,89.19,37.25,2,7.03,54.12,Pass
2.46,77.71,42.67,7,6.52,57.64,Pass
1.19,50.26,80.93,2,8.39,54.47,Pass
2.27,88.05,35.0,7,8.76,54.97,Pass
5.08,51.77,59.99,2,7.77,65.0,Pass
3.95,87.29,66.35,7,6.23,68.73,Pass
7.25,60.12,38.28,4,6.96,57.97,Pass
6.72,97.9,93.38,9,7.5,87.51,Pass
3.39,68.4,48.57,7,4.97,58.95,Pass
2.82,66.35,53.25,2,6.24,51.08,Pass
3.66,57.44,53.24,6,8.15,61.83,Pass
5.13,65.28,48.82,9,7.27,62.59,Pass
2.88,93.83,35.09,4,6.06,59.87,Pass
5.37,99.82,78.76,7,7.32,76.03,Pass
3.87,68.42,93.01,6,4.59,73.37,Pass
4.86,72.43,48.46,7,6.01,65.52,Pass
4.05,86.1,74.78,2,7.97,70.68,Pass
3.06,94.31,79.51,8,5.1,77.97,Pass
7.64,79.65,85.91,10,4.93,93.94,Pass
6.35,69.58,60.36,3,8.75,76.01,Pass
1.98,70.63,53.18,6,5.05,55.5,Pass
7.08,84.78,54.52,5,5.3,67.0,Pass
4.41,50.16,77.76,7,8.85,74.71,Pass
7.26,80.98,84.01,7,7.67,86.11,Pass
6.6,67.77,45.9,3,7.5,69.33,Pass
3.98,89.71,57.26,3,8.26,63.82,Pass
1.16,54.65,89.12,5,4.58,56.45,Pass
2.88,79.41,83.4,2,7.53,69.0,Pass
4.79,74.05,94.09,10,6.52,77.54,Pass
5.43,82.12,80.25,8,8.15,81.64,Pass
2.81,53.24,58.59,8,6.54,59.03,Pass
1.98,79.0,70.44,4,7.1,64.97,Pass
6.84,78.07,74.66,4,6.39,71.45,Pass
7.89,78.03,39.71,2,6.39,59.4,Pass
4.68,80.17,67.67,4,7.84,76.62,Pass
2.2,83.82,77.56,4,7.14,68.11,Pass
2.91,90.25,45.04,5,7.17,66.01,Pass
1.13,63.49,81.84,5,6.25,59.63,Pass
7.4,91.25,70.03,4,6.66,79.54,Pass
1.82,74.91,92.13,9,7.73,79.38,Pass
5.04,53.85,37.55,9,8.13,71.19,Pass
2.92,52.93,50.92,2,7.48,49.24,Pass
4.88,66.71,71.09,8,8.62,75.27,Pass
5.56,89.24,52.79,3,8.1,74.4,Pass
6.81,85.38,77.87,2,6.81,74.89,Pass
2.44,89.43,80.54,4,7.36,72.91,Pass
1.08,75.86,41.15,5,8.63,58.97,Pass
1.96,72.01,65.83,7,7.1,62.07,Pass
7.3,57.37,65.53,6,8.12,75.98,Pass
7.12,66.41,57.16,5,7.44,79.56,Pass
5.18,71.7,90.98,9,6.76,88.94,Pass
5.2,54.43,84.65,5,5.21,71.42,Pass
5.66,61.03,76.83,3,6.13,67.02,Pass
2.23,79.91,77.86,4,8.84,66.38,Pass
7.4,86.78,62.7,7,7.29,76.45,Pass
3.93,99.92,90.26,9,6.82,95.63,Pass
3.68,96.66,76.68,9,8.66,90.68,Pass
4.63,82.13,78.74,10,6.93,79.71,Pass
1.33,71.06,86.7,8,6.63,73.08,Pass
2.16,81.81,51.44,3,7.8,58.28,Pass
6.17,89.28,83.42,9,7.56,95.43,Pass
1.58,55.92,46.71,8,4.97,54.15,Pass
5.22,70.5,55.72,9,6.36,71.19,Pass
2.72,91.99,55.14,4,6.36,60.02,Pass
3.73,69.19,93.71,8,5.89,80.18,Pass
3.02,78.59,86.39,10,6.59,78.6,Pass
3.49,79.39,77.07,4,6.07,69.93,Pass
6.03,59.22,78.62,7,5.0,73.52,Pass
3.08,68.11,68.72,3,6.06,58.69,Pass
4.96,66.73,91.83,3,4.36,66.1,Pass
4.33,51.31,64.78,6,6.88,66.16,Pass
5.65,51.21,57.83,6,8.27,66.29,Pass
7.56,91.58,44.78,8,7.63,87.55,Pass
6.13,63.65,82.17,3,5.8,66.29,Pass
2.5,75.9,79.07,8,4.44,73.36,Pass
1.22,64.94,58.06,6,5.01,54.2,Pass
2.84,97.03,36.51,7,6.73,73.2,Pass
5.17,62.96,85.34,9,5.04,80.81,Pass
1.36,71.48,35.69,5,6.72,50.95,Pass
4.47,93.64,77.22,8,5.16,79.41,Pass
5.18,92.1,93.22,7,8.24,85.47,Pass
3.34,59.31,61.26,3,5.99,57.86,Pass
6.4,90.13,49.1,9,5.23,68.57,Pass
1.75,72.91,77.29,10,8.06,67.64,Pass
1.53,74.15,84.03,6,5.71,72.68,Pass
6.1,56.67,67.79,5,4.56,57.3,Pass
4.47,54.03,93.02,7,6.85,74.36,Pass
5.82,86.4,38.1,9,6.91,66.03,Pass
4.04,74.82,65.29,4,7.57,64.74,Pass
2.72,71.84,78.11,2,5.2,62.27,Pass
6.73,86.48,86.76,5,6.22,88.7,Pass
6.6,88.28,45.76,5,5.41,74.66,Pass
5.86,57.95,83.0,2,4.4,61.88,Pass
2.91,80.51,68.16,10,8.38,73.98,Pass
5.13,56.77,58.79,4,7.64,83.03,Pass
3.53,87.57,42.9,6,5.51,60.08,Pass
1.64,82.85,86.92,7,7.0,69.72,Pass
7.42,97.83,44.44,9,5.01,74.49,Pass
1.96,53.45,53.59,7,8.45,56.43,Pass
7.65,52.85,52.4,4,4.57,60.21,Pass
4.12,64.11,87.28,7,4.02,71.03,Pass
